indicateur_code,programme_code,zer_code,projet_code,localite_code,periode,annee,valeur,commentaire
IND-FINANCEMENT-MOBILISE,PUERG,,,,T4,2026,22800000,Financement mobilisé PUERG
IND-TAUX-EXECUTION,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,M12,2026,68,Exécution physique Kindia
IND-LOCALITES-TOTAL,PUERG,ZER-KINDIA,,,ANNUEL,2027,130,Localités couvertes dans la ZER Kindia
IND-LOCALITES-ELECTRIFIEES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2027,72,Progression électrification Kindia
IND-MENAGES-RACCORDES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2027,6800,Ménages raccordés Kindia
IND-ACCES-ELECTRICITE,PUERG,ZER-KINDIA,,,ANNUEL,2027,45,Taux d’accès rural estimé
IND-FINANCEMENT-MOBILISE,PUERG,,,,T4,2027,35000000,Financement mobilisé PUERG
IND-TAUX-EXECUTION,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,M12,2027,82,Exécution physique Kindia
IND-FEMMES-BENEFICIAIRES,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,T4,2024,450,Premières bénéficiaires du projet genre
IND-FEMMES-BENEFICIAIRES,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,T4,2025,1200,Femmes bénéficiaires 2025
IND-FEMMES-BENEFICIAIRES,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,T4,2026,2300,Projection femmes bénéficiaires
IND-JEUNES-FORMES,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,T4,2025,250,Jeunes formés en 2025
IND-JEUNES-FORMES,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,T4,2026,620,Projection jeunes formés
IND-DECAISSEMENT,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,T4,2024,3100000,Décaissements réalisés Kindia
IND-DECAISSEMENT,PUERG,ZER-KINDIA,PRJ-PUERG-TELIMELE-001,,T4,2025,1800000,Décaissements prévus Télimélé
IND-PROJETS-RETARD,PUERG,ZER-KINDIA,,,M12,2024,0,Aucun retard majeur
IND-PROJETS-RETARD,PUERG,ZER-KINDIA,,,M12,2025,1,Un projet en vigilance planning
IND-INFRA-SANTE,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,S2,2025,7,Centres de santé ciblés
IND-INFRA-ECOLES,PUERG,ZER-KINDIA,PRJ-PUERG-KINDIA-001,,S2,2025,14,Écoles ciblées
IND-LOCALITES-ELECTRIFIEES,PUERG,ZER-KINDIA,PRJ-PUERG-TELIMELE-001,,T4,2026,12,Localités Télimélé prévues
IND-MENAGES-RACCORDES,PUERG,ZER-KINDIA,PRJ-PUERG-TELIMELE-001,,T4,2026,760,Ménages Télimélé prévus
IND-TAUX-EXECUTION,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,M12,2024,40,Exécution projet genre
IND-TAUX-EXECUTION,PUERG,ZER-KINDIA,PRJ-PUERG-GENRE-001,,M12,2025,67,Exécution projet genre
IND-FINANCEMENT-MOBILISE,PERMT,ZER-LABE,PRJ-PERMT-LABE-001,,T4,2027,0,Projet futur non mobilisé
IND-FINANCEMENT-MOBILISE,PERMT,ZER-MAMOU,PRJ-PERMT-MAMOU-001,,T4,2027,0,Projet futur non mobilisé
IND-FINANCEMENT-MOBILISE,PFAUER,ZER-NZEREKORE,PRJ-PFAUER-NZEREKORE-001,,T4,2027,0,Projet futur non mobilisé
