code,nom,longitude,latitude,nombre_menages,population_totale,categorie_population,statut_electrification,distance_reseau_km,zer_code,prefecture_code,sous_prefecture_code,programme_code,systeme_code
LOC-MALEYA,MALEYA,-12.98223,10.03299,36,307,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-DIALLOYA,DIALLOYA,-12.85957,10.00825,2,12,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-GOLEAH,GOLEAH,-12.84319,9.97537,76,599,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-CENTRALISE
LOC-LONKHONDE,LONKHONDE,-12.83657,9.977,18,109,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-KINDIA,SP-KINDIA,PUERG,SYS-PV-DECENTRALISE
LOC-BORIRE,BORIRE,-12.99944,10.96468,5,21,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-DOGHOL-MOULOL,DOGHOL-MOULOL,-12.99399,10.97301,8,36,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-HOUNSIRE,HOUNSIRE,-12.99338,10.96666,18,97,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-KANKALIBA,KANKALIBA,-12.99338,10.95992,3,14,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-LEY-GOUNGA,LEY-GOUNGA,-12.98853,10.96468,16,133,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-MADY,MADY,-12.98207,10.96745,7,40,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-MBOWOY,MBOWOY,-12.98187,10.974,8,42,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-NYALLE,NYALLE,-13.00832,10.96389,16,120,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-SOUDOUDYOUN,SOUDOUDYOUN,-13.00186,10.95972,10,72,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-BOSSERE-HAKKOUNDE,BOSSERE-HAKKOUNDE,-13.02488,10.95605,29,184,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-NIBO,NIBO,-13.02912,10.94732,20,104,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-SAMANKOU,SAMANKOU,-13.03881,10.96279,10,63,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-TELIBOFI,TELIBOFI,-13.03215,10.96497,2,11,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-TYALEKINDE-II,TYALEKINDE II,-13.02892,10.96893,60,418,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-KOLLY,KOLLY,-13.03292,10.91555,158,1066,MOINS_2000_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-CENTRALISE
LOC-SECTEUR-BARKERE,SECTEUR BARKERE,-13.03816,10.91273,132,892,MOINS_2000_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-CENTRALISE
LOC-HORE-SADIO,HORE-SADIO,-12.98402,10.91449,33,152,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-GOULGOUL-MISSIDE,GOULGOUL-MISSIDE,-13.0535,10.88893,49,280,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-MENYERE-LEY,MENYERE LEY,-13.02564,10.91495,71,386,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-CENTRALISE
LOC-SECTEUR-HAFIA-I,SECTEUR HAFIA I,-13.03231,10.90959,275,1444,MOINS_2000_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-CENTRALISE
LOC-MISSIDE-MAWDE,MISSIDE-MAWDE,-13.00754,10.90332,19,80,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-SOINDE,SOINDE,-12.99974,10.88821,70,499,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-CENTRALISE
LOC-BOULERE,BOULERE,-13.04836,10.95245,9,56,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-SOULOUDJI,SOULOUDJI,-13.05981,10.92306,38,186,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-PELLOUN-BALBHE,PELLOUN BALBHE,-12.975184,10.935326,8,45,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
LOC-BANTANHI,BANTANHI,-13.046743,10.886132,5,24,MOINS_800_HABITANTS,NON_ELECTRIFIEE,,ZER-KINDIA,PREF-TELIMELE,SP-TELIMELE,PUERG,SYS-PV-DECENTRALISE
