action_code,projet_code,localite_code,categorie_beneficiaire,nombre_hommes,nombre_femmes,nombre_jeunes,nombre_personnes_vulnerables,commentaire
GEN-005-ENTREPRENARIAT,PRJ-PERMT-MAMOU-001,LOC-GOLEAH,ENTREPRENEURS,170,238,99,22,Bénéficiaires genre entrepreneurs suivis dans LOC-GOLEAH
GEN-006-SUIVI,PRJ-PUERG-KINDIA-001,LOC-KOLLY,FEMMES,175,245,108,25,Bénéficiaires genre femmes suivis dans LOC-KOLLY
GEN-007-INSTITUTIONNALISATION,PRJ-PUERG-TELIMELE-001,LOC-MALEYA,JEUNES,180,252,117,28,Bénéficiaires genre jeunes suivis dans LOC-MALEYA
GEN-008-INTEGRATION,PRJ-PUERG-GENRE-001,LOC-HOUNSIRE,INFRASTRUCTURES_COMMUNAUTAIRES,185,259,126,31,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-HOUNSIRE
GEN-009-SENSIBILISATION,PRJ-PERMT-LABE-001,LOC-FILIGBE,GROUPE_VULNERABLE,190,266,135,34,Bénéficiaires genre groupe_vulnerable suivis dans LOC-FILIGBE
GEN-010-RENFORCEMENT,PRJ-PERMT-MAMOU-001,LOC-GOLEAH,AUTRE,195,273,144,37,Bénéficiaires genre autre suivis dans LOC-GOLEAH
GEN-011-ENTREPRENARIAT,PRJ-PUERG-KINDIA-001,LOC-SOINDE,MENAGES,200,280,153,40,Bénéficiaires genre menages suivis dans LOC-SOINDE
GEN-012-SUIVI,PRJ-PUERG-TELIMELE-001,LOC-BORIRE,ENTREPRENEURS,205,287,162,43,Bénéficiaires genre entrepreneurs suivis dans LOC-BORIRE
GEN-013-INSTITUTIONNALISATION,PRJ-PUERG-GENRE-001,LOC-MENYERE-LEY,FEMMES,210,294,171,46,Bénéficiaires genre femmes suivis dans LOC-MENYERE-LEY
GEN-014-INTEGRATION,PRJ-PERMT-LABE-001,LOC-GBEREAKHORY-CENTRE,JEUNES,215,41,180,49,Bénéficiaires genre jeunes suivis dans LOC-GBEREAKHORY-CENTRE
GEN-015-SENSIBILISATION,PRJ-PERMT-MAMOU-001,LOC-SECTEUR-HAFIA-I,INFRASTRUCTURES_COMMUNAUTAIRES,220,48,189,52,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-SECTEUR-HAFIA-I
GEN-016-RENFORCEMENT,PRJ-PUERG-KINDIA-001,LOC-SOINDE,GROUPE_VULNERABLE,225,55,18,55,Bénéficiaires genre groupe_vulnerable suivis dans LOC-SOINDE
GEN-017-ENTREPRENARIAT,PRJ-PUERG-TELIMELE-001,LOC-BORIRE,AUTRE,230,62,27,58,Bénéficiaires genre autre suivis dans LOC-BORIRE
GEN-018-SUIVI,PRJ-PUERG-GENRE-001,LOC-FILIGBE,MENAGES,235,69,36,61,Bénéficiaires genre menages suivis dans LOC-FILIGBE
GEN-019-INSTITUTIONNALISATION,PRJ-PERMT-LABE-001,LOC-GOLEAH,ENTREPRENEURS,240,76,45,64,Bénéficiaires genre entrepreneurs suivis dans LOC-GOLEAH
GEN-020-INTEGRATION,PRJ-PERMT-MAMOU-001,LOC-KOLLY,FEMMES,25,83,54,67,Bénéficiaires genre femmes suivis dans LOC-KOLLY
GEN-021-SENSIBILISATION,PRJ-PUERG-KINDIA-001,LOC-MALEYA,JEUNES,30,90,63,70,Bénéficiaires genre jeunes suivis dans LOC-MALEYA
GEN-022-RENFORCEMENT,PRJ-PUERG-TELIMELE-001,LOC-HOUNSIRE,INFRASTRUCTURES_COMMUNAUTAIRES,35,97,72,73,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-HOUNSIRE
GEN-023-ENTREPRENARIAT,PRJ-PUERG-GENRE-001,LOC-FILIGBE,GROUPE_VULNERABLE,40,104,81,6,Bénéficiaires genre groupe_vulnerable suivis dans LOC-FILIGBE
GEN-024-SUIVI,PRJ-PERMT-LABE-001,LOC-GOLEAH,AUTRE,45,111,90,9,Bénéficiaires genre autre suivis dans LOC-GOLEAH
GEN-025-INSTITUTIONNALISATION,PRJ-PERMT-MAMOU-001,LOC-SOINDE,MENAGES,50,118,99,12,Bénéficiaires genre menages suivis dans LOC-SOINDE
GEN-001-INSTITUTIONNALISATION,PRJ-PUERG-KINDIA-001,LOC-BORIRE,ENTREPRENEURS,55,125,108,15,Bénéficiaires genre entrepreneurs suivis dans LOC-BORIRE
GEN-002-INTEGRATION,PRJ-PUERG-TELIMELE-001,LOC-MENYERE-LEY,FEMMES,60,132,117,18,Bénéficiaires genre femmes suivis dans LOC-MENYERE-LEY
GEN-003-SENSIBILISATION,PRJ-PUERG-GENRE-001,LOC-GBEREAKHORY-CENTRE,JEUNES,65,139,126,21,Bénéficiaires genre jeunes suivis dans LOC-GBEREAKHORY-CENTRE
GEN-004-RENFORCEMENT,PRJ-PERMT-LABE-001,LOC-SECTEUR-HAFIA-I,INFRASTRUCTURES_COMMUNAUTAIRES,70,146,135,24,Bénéficiaires genre infrastructures_communautaires suivis dans LOC-SECTEUR-HAFIA-I
GEN-005-ENTREPRENARIAT,PRJ-PERMT-MAMOU-001,LOC-SOINDE,GROUPE_VULNERABLE,75,153,144,27,Bénéficiaires genre groupe_vulnerable suivis dans LOC-SOINDE
GEN-006-SUIVI,PRJ-PUERG-KINDIA-001,LOC-BORIRE,AUTRE,80,160,153,30,Bénéficiaires genre autre suivis dans LOC-BORIRE
GEN-007-INSTITUTIONNALISATION,PRJ-PUERG-TELIMELE-001,LOC-FILIGBE,MENAGES,85,167,162,33,Bénéficiaires genre menages suivis dans LOC-FILIGBE
GEN-008-INTEGRATION,PRJ-PUERG-GENRE-001,LOC-GOLEAH,ENTREPRENEURS,90,174,171,36,Bénéficiaires genre entrepreneurs suivis dans LOC-GOLEAH
GEN-009-SENSIBILISATION,PRJ-PERMT-LABE-001,LOC-KOLLY,FEMMES,95,181,180,39,Bénéficiaires genre femmes suivis dans LOC-KOLLY
GEN-010-RENFORCEMENT,PRJ-PERMT-MAMOU-001,LOC-MALEYA,JEUNES,100,188,189,42,Bénéficiaires genre jeunes suivis dans LOC-MALEYA
