code,titre,description,axe_strategique,programme_code,projet_code,zer_code,localite_code,statut,date_debut_prevue,date_fin_prevue,date_debut_effective,date_fin_effective,responsable
GEN-014-INTEGRATION,Action genre 14 - Integration Projets,Action structurante du PNER pour integration projets liée au projet PRJ-PERMT-LABE-001.,INTEGRATION_PROJETS,PERMT,PRJ-PERMT-LABE-001,ZER-LABE,LOC-SECTEUR-HAFIA-I,SUSPENDUE,2025-02-01,2025-12-31,,,ONG locale partenaire
GEN-015-SENSIBILISATION,Action genre 15 - Sensibilisation Communication,Action structurante du PNER pour sensibilisation communication liée au projet PRJ-PERMT-MAMOU-001.,SENSIBILISATION_COMMUNICATION,PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,LOC-KOLLY,ANNULEE,2026-02-01,2026-12-31,,,Direction régionale énergie
GEN-016-RENFORCEMENT,Action genre 16 - Renforcement Capacites,Action structurante du PNER pour renforcement capacites liée au projet PRJ-PUERG-KINDIA-001.,RENFORCEMENT_CAPACITES,PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,,PLANIFIEE,2027-02-01,2027-12-31,2027-03-01,,Cellule Genre AGER
GEN-017-ENTREPRENARIAT,Action genre 17 - Entreprenariat Feminin,Action structurante du PNER pour entreprenariat feminin liée au projet PRJ-PUERG-TELIMELE-001.,ENTREPRENARIAT_FEMININ,PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,LOC-MALEYA,EN_COURS,2024-02-01,2024-12-31,,,Coordination PUERG
GEN-018-SUIVI,Action genre 18 - Suivi Evaluation Genre,Action structurante du PNER pour suivi evaluation genre liée au projet PRJ-PUERG-GENRE-001.,SUIVI_EVALUATION_GENRE,PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,LOC-BORIRE,REALISEE,2025-02-01,2025-12-31,,2025-11-30,Point focal SSE genre
GEN-019-INSTITUTIONNALISATION,Action genre 19 - Institutionnalisation Genre,Action structurante du PNER pour institutionnalisation genre liée au projet PRJ-PERMT-LABE-001.,INSTITUTIONNALISATION_GENRE,PERMT,PRJ-PERMT-LABE-001,ZER-LABE,LOC-HOUNSIRE,SUSPENDUE,2026-02-01,2026-12-31,2026-03-01,,ONG locale partenaire
GEN-020-INTEGRATION,Action genre 20 - Integration Projets,Action structurante du PNER pour integration projets liée au projet PRJ-PERMT-MAMOU-001.,INTEGRATION_PROJETS,PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,,ANNULEE,2027-02-01,2027-12-31,,,Direction régionale énergie
GEN-021-SENSIBILISATION,Action genre 21 - Sensibilisation Communication,Action structurante du PNER pour sensibilisation communication liée au projet PRJ-PUERG-KINDIA-001.,SENSIBILISATION_COMMUNICATION,PUERG,PRJ-PUERG-KINDIA-001,ZER-KINDIA,LOC-FILIGBE,PLANIFIEE,2024-02-01,2024-12-31,,,Cellule Genre AGER
GEN-022-RENFORCEMENT,Action genre 22 - Renforcement Capacites,Action structurante du PNER pour renforcement capacites liée au projet PRJ-PUERG-TELIMELE-001.,RENFORCEMENT_CAPACITES,PUERG,PRJ-PUERG-TELIMELE-001,ZER-KINDIA,LOC-GBEREAKHORY-CENTRE,EN_COURS,2025-02-01,2025-12-31,2025-03-01,,Coordination PUERG
GEN-023-ENTREPRENARIAT,Action genre 23 - Entreprenariat Feminin,Action structurante du PNER pour entreprenariat feminin liée au projet PRJ-PUERG-GENRE-001.,ENTREPRENARIAT_FEMININ,PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,LOC-GOLEAH,REALISEE,2026-02-01,2026-12-31,,2026-11-30,Point focal SSE genre
GEN-024-SUIVI,Action genre 24 - Suivi Evaluation Genre,Action structurante du PNER pour suivi evaluation genre liée au projet PRJ-PERMT-LABE-001.,SUIVI_EVALUATION_GENRE,PERMT,PRJ-PERMT-LABE-001,ZER-LABE,,SUSPENDUE,2027-02-01,2027-12-31,,,ONG locale partenaire
GEN-025-INSTITUTIONNALISATION,Action genre 25 - Institutionnalisation Genre,Action structurante du PNER pour institutionnalisation genre liée au projet PRJ-PERMT-MAMOU-001.,INSTITUTIONNALISATION_GENRE,PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,LOC-KOLLY,ANNULEE,2024-02-01,2024-12-31,2024-03-01,,Direction régionale énergie
