programme_code,projet_code,zer_code,categorie_cout,montant_usd,annee,commentaire
PERMT,PRJ-PERMT-LABE-001,ZER-LABE,EQUIPEMENTS,6160000,2029,Prévision equipements pour PRJ-PERMT-LABE-001
PERMT,PRJ-PERMT-LABE-001,ZER-LABE,RENFORCEMENT_CAPACITES,880000,2029,Prévision renforcement capacites pour PRJ-PERMT-LABE-001
PERMT,PRJ-PERMT-LABE-001,ZER-LABE,SIG,660000,2030,Prévision sig pour PRJ-PERMT-LABE-001
PERMT,PRJ-PERMT-LABE-001,ZER-LABE,SUIVI_EVALUATION,660000,2030,Prévision suivi evaluation pour PRJ-PERMT-LABE-001
PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,ETUDES,1680000,2028,Prévision etudes pour PRJ-PERMT-MAMOU-001
PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,INFRASTRUCTURES,13440000,2028,Prévision infrastructures pour PRJ-PERMT-MAMOU-001
PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,EQUIPEMENTS,7840000,2029,Prévision equipements pour PRJ-PERMT-MAMOU-001
PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,RENFORCEMENT_CAPACITES,1120000,2029,Prévision renforcement capacites pour PRJ-PERMT-MAMOU-001
PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,SIG,840000,2030,Prévision sig pour PRJ-PERMT-MAMOU-001
PERMT,PRJ-PERMT-MAMOU-001,ZER-MAMOU,SUIVI_EVALUATION,840000,2030,Prévision suivi evaluation pour PRJ-PERMT-MAMOU-001
PERMT,PRJ-PERMT-FARANAH-001,ZER-FARANAH,ETUDES,2040000,2028,Prévision etudes pour PRJ-PERMT-FARANAH-001
PERMT,PRJ-PERMT-FARANAH-001,ZER-FARANAH,INFRASTRUCTURES,16320000,2028,Prévision infrastructures pour PRJ-PERMT-FARANAH-001
PERMT,PRJ-PERMT-FARANAH-001,ZER-FARANAH,EQUIPEMENTS,9520000,2029,Prévision equipements pour PRJ-PERMT-FARANAH-001
PERMT,PRJ-PERMT-FARANAH-001,ZER-FARANAH,RENFORCEMENT_CAPACITES,1360000,2029,Prévision renforcement capacites pour PRJ-PERMT-FARANAH-001
PERMT,PRJ-PERMT-FARANAH-001,ZER-FARANAH,SIG,1020000,2030,Prévision sig pour PRJ-PERMT-FARANAH-001
PERMT,PRJ-PERMT-FARANAH-001,ZER-FARANAH,SUIVI_EVALUATION,1020000,2030,Prévision suivi evaluation pour PRJ-PERMT-FARANAH-001
PFAUER,PRJ-PFAUER-NZEREKORE-001,ZER-NZEREKORE,ETUDES,2520000,2034,Prévision etudes pour PRJ-PFAUER-NZEREKORE-001
PFAUER,PRJ-PFAUER-NZEREKORE-001,ZER-NZEREKORE,INFRASTRUCTURES,20160000,2034,Prévision infrastructures pour PRJ-PFAUER-NZEREKORE-001
PFAUER,PRJ-PFAUER-NZEREKORE-001,ZER-NZEREKORE,EQUIPEMENTS,11760000,2035,Prévision equipements pour PRJ-PFAUER-NZEREKORE-001
PFAUER,PRJ-PFAUER-NZEREKORE-001,ZER-NZEREKORE,RENFORCEMENT_CAPACITES,1680000,2035,Prévision renforcement capacites pour PRJ-PFAUER-NZEREKORE-001
PFAUER,PRJ-PFAUER-NZEREKORE-001,ZER-NZEREKORE,SIG,1260000,2036,Prévision sig pour PRJ-PFAUER-NZEREKORE-001
PFAUER,PRJ-PFAUER-NZEREKORE-001,ZER-NZEREKORE,SUIVI_EVALUATION,1260000,2036,Prévision suivi evaluation pour PRJ-PFAUER-NZEREKORE-001
PFAUER,PRJ-PFAUER-KINDIA-002,ZER-KINDIA,ETUDES,960000,2034,Prévision etudes pour PRJ-PFAUER-KINDIA-002
PFAUER,PRJ-PFAUER-KINDIA-002,ZER-KINDIA,INFRASTRUCTURES,7680000,2034,Prévision infrastructures pour PRJ-PFAUER-KINDIA-002
PFAUER,PRJ-PFAUER-KINDIA-002,ZER-KINDIA,EQUIPEMENTS,4480000,2035,Prévision equipements pour PRJ-PFAUER-KINDIA-002
PFAUER,PRJ-PFAUER-KINDIA-002,ZER-KINDIA,RENFORCEMENT_CAPACITES,640000,2035,Prévision renforcement capacites pour PRJ-PFAUER-KINDIA-002
PFAUER,PRJ-PFAUER-KINDIA-002,ZER-KINDIA,SIG,480000,2036,Prévision sig pour PRJ-PFAUER-KINDIA-002
PFAUER,PRJ-PFAUER-KINDIA-002,ZER-KINDIA,SUIVI_EVALUATION,480000,2036,Prévision suivi evaluation pour PRJ-PFAUER-KINDIA-002
PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,ETUDES,270000,2024,Prévision etudes pour PRJ-PUERG-GENRE-001
PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,INFRASTRUCTURES,2160000,2024,Prévision infrastructures pour PRJ-PUERG-GENRE-001
PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,EQUIPEMENTS,1260000,2025,Prévision equipements pour PRJ-PUERG-GENRE-001
PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,RENFORCEMENT_CAPACITES,180000,2025,Prévision renforcement capacites pour PRJ-PUERG-GENRE-001
PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,SIG,135000,2026,Prévision sig pour PRJ-PUERG-GENRE-001
PUERG,PRJ-PUERG-GENRE-001,ZER-KINDIA,SUIVI_EVALUATION,135000,2026,Prévision suivi evaluation pour PRJ-PUERG-GENRE-001
